deptAcronym,shortcode,uniqueId,department,projectName,description,totalBudget,estimatedCompletionDate,rawProvidedDate,yearsRemaining,originalDocumentOrder,source,asOfDate,isOver10M,isOver100M
pco,scnl,pco-scnl,Privy Council Office,Secure Communications for National Leadership,"The Secure Communications for National Leadership (SCNL), mentioned in the 2019-2020 Privy Council Office Departmental Plan is a joint Privy Council Office and Communications Security Establishment wide initiative to provide Canada's Senior Government Officials with modern and secure means of communications at the Secret level.","$4,800,000","June 30, 2020","June 30, 2020",1.2,1,8555-421-2460,"May 1, 2019",0,0
pspc,eps,pspc-eps,Public Services and Procurement Canada,eProcurement Solution,"E-Procurement Solution
A new Electronic Procurement Solution (EPS) for the Government of Canada will help to modernize the government's procurement function and will improve efficiency and electronic access to users throuqh new technoloqy, as well as updated business processes.","$214,474,730","March 31, 2024",2023-24,4.9,2,8555-421-2460,"May 1, 2019",1,1
pspc,gcsurplus,pspc-gcsurplus,Public Services and Procurement Canada,GCSurplus Application Renewal,"Government of Canada Surplus
The current GCSurplus application set will be renewed, improving the future viability, maintainability and functionality of the solution, better addressing client needs and reducing future cyber security risks. Improved functionality to support real-time online bidding and reporting for standardized inventory control will be delivered.","$3,821,287","March 31, 2023",2022-23,3.9,3,8555-421-2460,"May 1, 2019",0,0
pspc,lsrms,pspc-lsrms,Public Services and Procurement Canada,Linguistic Service Request Management System,"Linguistic Service Request Management System
This project will improve management of linguistic services requests to satisfy various Government of Canada initiatives and respond to the Translation Bureau's business modernization.","$13,646,973","March 31, 2021",2020-21,1.9,4,8555-421-2460,"May 1, 2019",1,0
pspc,isst,pspc-isst,Public Services and Procurement Canada,Industrial Security System Transformation,"Industrial Security System Transformation
This project will replace the current complement of aging systems supporting both the Contract Security Program and Controlled Goods Program functions with a sinqle, unified solution that better addresses the current and emerginq needs of industry and of the Government of Canada.","$35,300,000","March 31, 2024",2023-24,4.9,5,8555-421-2460,"May 1, 2019",1,0
pspc,windows10,pspc-windows10,Public Services and Procurement Canada,Windows 10 Migration,"Windows 10 Migration
Miqration of PSPC's 20,000 Desktop computers to the Windows 10 operatinq System.","$6,200,000","March 31, 2020",2019-20,0.9,6,8555-421-2460,"May 1, 2019",0,0
pspc,procure2pay,pspc-procure2pay,Public Services and Procurement Canada,Procure to Pay,"Procure to Pay:
The project will use existing government-owned technology to implement electronic approvals, provide electronic imaging of vendor invoices and automate SIGMA Procure-to-Pay workflows.","$10,569,000","March 31, 2020",2019-20,0.9,7,8555-421-2460,"May 1, 2019",1,0
pspc,eaarg,pspc-eaarg,Public Services and Procurement Canada,Electronic Authorization & Authentication Receiver General,"Electronic Authorization & Authentication Receiver General (EAARG)
The key deliverable of the project will be an Electronic Authorization & Authentication (EM) solution, for use across the GC, which meets all business, technical and legislative requirements, uses current cryptography standards and that will also provide a reliable and sustainable solution with ensured continued long term technical maintenance and support.","$2,212,000","March 31, 2020",2019-20,0.9,8,8555-421-2460,"May 1, 2019",0,0
ssc,canarie,ssc-canarie,Shared Services Canada,CANARIE Network Monitoring,"CANARIE- PRJ-002971
The aim of this project is to implement a Government of Canada (GC) Science Network with integrated Enterprise Network Secure Perimeter, followed by consolidation of GC connectivity to Canadian network for the Advancement of Research, Industry and Education (CANARlE is a non-profit company).","$31,626,469","December 31, 2019","December 31, 2019",0.7,9,8555-421-2460,"May 1, 2019",1,0
ssc,aacs,ssc-aacs,Shared Services Canada,Administrative Access Controls Services,"Administrative Access Controls Services - PRJ-003243
This project standardizes administrative account management and ensures only those with administrative privileges are provided with the appropriate level of privileges.","$14,012,000","July 19, 2019","July 19, 2019",0.2,10,8555-421-2460,"May 1, 2019",1,0
ssc,eps,ssc-eps,Shared Services Canada,Enterprise Perimeter Security,"Enterprise Perimeter Security (EPS) - PRJ-003247
The objective of the EPS Project is to increase the visibility of cyber threats targeting GC networks in order to reduce the potential for compromising information and infrastructure assets of SSC and its partner departments and agencies.","$21,643,272","March 31, 2020","March 31, 2020",0.9,11,8555-421-2460,"May 1, 2019",1,0
ssc,evcm,ssc-evcm,Shared Services Canada,Enterprise Vulnerability and Compliance Management,"Enterprise Vulnerability and Compliance Management - PRJ-003248
Enterprise Vulnerability Management (VM) is a proactive service that allows for systematic identification, classification, prioritization and mitigation of vulnerabilities in IT systems on a continuous basis. Scanning all aspects of GC IT infrastructure allows for the early and systematic detection of vulnerabilities.","$21,439,766","March 31, 2020","March 31, 2020",0.9,12,8555-421-2460,"May 1, 2019",1,0
ssc,icas,ssc-icas,Shared Services Canada,GC Internal Credential Authentication Service,"GC Internal Centralized Authentication Service (ICAS)- PRJ-002915
A new GC ICAS will be implemented to provide standardized and centrally managed GC credentials and authentication mechanisms to support GC employees, system administrators and Enterprise applications.","$5,544,999","March 31, 2020","March 31, 2020",0.9,13,8555-421-2460,"May 1, 2019",0,0
ssc,gcnet-wan,ssc-gcnet-wan,Shared Services Canada,Wide Area Network Services,"GC's Wide Area Network (GCNet WAN) Project- PRJ-001828
GCNet will consolidate and modernize WAN services for SSC and its partners/customers to reduce costs, increase security, and enhance program delivery to Canadian citizens and businesses.","$80,118,370","March 31, 2020","March 31, 2020",0.9,14,8555-421-2460,"May 1, 2019",1,0
ssc,hccs,ssc-hccs,Shared Services Canada,Hosted Contact Centre Services Transformation,"Hosted Contact Centre Services (HCCS) Transformation - PRJ-001827
The HCCS Transformation Project is a sub project of the Telecommunications Transformation Program. The aim of the project is to establish a new HCCS contract, infrastructure and platform.","$44,059,000","March 31, 2020","March 31, 2020",0.9,15,8555-421-2460,"May 1, 2019",1,0
ssc,edc-borden-1,ssc-edc-borden-1,Shared Services Canada,Enterprise Data Centre Borden Phase 1,"Enterprise Data Centre (EDC) Borden Facility Expansion - PRJ-001933
This project will provide additional power and data hall capacity. The facility enhancements will be achieved through a Public Private Partnership (P3) and will be constructed in a modular design providing maximum flexibility to SSC for future upgrades.","$31,671,636","September 30, 2019","September 30, 2019",0.4,16,8555-421-2460,"May 1, 2019",1,0
