deptAcronym,shortcode,uniqueId,department,projectName,description,totalBudget,estimatedCompletionDate,rawProvidedDate,yearsRemaining,originalDocumentOrder,source,asOfDate,isOver10M,isOver100M
aafc,maa-portal,aafc-maa-portal,Agriculture and Agri-Food Canada,Modernization of MAA (My AAFC Account) Portal Platform Software,Modernization of the My AAFC Account Portal addresses aging technology and allows AAFC to support farmers using modern software while streamlining and optimizing functionality.,3794700,2022-07-25,2022-07-25,0.2,1,8530-441-13-505,"April 25, 2022",0,0
aafc,web-cms,aafc-web-cms,Agriculture and Agri-Food Canada,Content Management System (CMS) Solution,"Implementation of a web content management solution that uses standard content templates and workflows to create, manage, and publish web content to public-facing AAFC websites.",1040600,2022-07-26,2022-07-26,0.3,2,8530-441-13-505,"April 25, 2022",0,0
aafc,ll-data-platform,aafc-ll-data-platform,Agriculture and Agri-Food Canada,Initial Infrastructure for Living Labs (LL),The Living Labs Division and local scientific staff will collect and store data generated by its projects in an integrated data platform. This activity will involve ensuring data storage and collection standards and mechanisms are aligned with the broader AAFC-STB (Science and Technology Branch) data agenda and ensure consistency of data collection and format across projects.,1018000,2022-07-30,2022-07-30,0.3,3,8530-441-13-505,"April 25, 2022",0,0
aafc,agriclient-crm,aafc-agriclient-crm,Agriculture and Agri-Food Canada,Departmental Client Relationship Management (CRM) Software (a.k.a. AgriClient),"To implement a departmental Client Relationship Management (CRM) solution to better track and holistically understand client interactions and efficiently manage contact data. This project will establish modern CRM tools and migrate existing data into the new system, thereby enabling staff to maintain better relationships with Canadians.",2812101,2022-07-31,2022-07-31,0.3,4,8530-441-13-505,"April 25, 2022",0,0
aafc,software-catalogue-chatbot,aafc-software-catalogue-chatbot,Agriculture and Agri-Food Canada,AI (Artificial Intelligence) Chatbot for Software acquisition process,To improve the software approval and acquisition process by the creation of a service catalogue with software status information that will leverage artificial intelligence to enable user self-service and the ability to direct the request to the appropriate delivery team.,1035400,2022-09-30,2022-09-30,0.4,5,8530-441-13-505,"April 25, 2022",0,0
aafc,gcdp-crm,aafc-gcdp-crm,Agriculture and Agri-Food Canada,Grants and Contributions Digital Platform (GCDP) - Release 1,"To streamline the grants and contributions program administration, integrated program delivery, and management and reporting function, while improving client experience. The foundational Client Relationship Model for non-business risk management programs to be integrated with AAFC's client relationship management solution. This will align AAFC with Government of Canada digital policy and standards.",21289200,2022-09-30,2022-09-30,0.4,6,8530-441-13-505,"April 25, 2022",1,0
aafc,biomob,aafc-biomob,Agriculture and Agri-Food Canada,BioMOB (Biological Collections and Data Mobilization) - Work Package 3 Data Integration and Information Sharing,"To support the capture of label data and generate images and/or DNA sequences of the AAFC Biological Collections. The science initiative will complement initiatives in other countries which aim to digitize a portion of their holdings over multiple years. Overall, more than 7.6 million data records will be digitized. Canada will provide global leadership by also including DNA sequence data to its initiative. This project is to meet the IM/IT enabling needs of AAFC's BioMOB (Biological Collections and Data Mobilization) science initiative.",4571000,2023-03-31,2023-03-31,0.9,7,8530-441-13-505,"April 25, 2022",0,0
aafc,peoplesoft-renewal,aafc-peoplesoft-renewal,Agriculture and Agri-Food Canada,PeopleSoft Upgrade,"The Government of Canada’s HR Services Modernization is aimed at enhancing the efficiency of HR service delivery while taking advantage of economies of scale through the standardization of HR processes. By working as a cluster, the GC strategic outcomes of economies of scale have already been realized by the PeopleSoft Shared Service. We are transitioning to the GC standard version of PeopleSoft. Shared project among five Government of Canada departments: AAFC, CFIA, SSC, HC, and PHAC. Showing grand total combined cost, not just AAFC portion.",4631600,2023-03-31,2023-03-31,0.9,8,8530-441-13-505,"April 25, 2022",0,0
aafc,maa-portal-2,aafc-maa-portal-2,Agriculture and Agri-Food Canada,My AAFC Account (MAA) - AgriStability and Agrilnvest Enhancements,To shift from paper to digital correspondence for AgriInvest and AgriStability through improvements made to the My AAFC Account portal.,1200000,2023-06-30,2023-06-30,1.2,9,8530-441-13-505,"April 25, 2022",0,0
aafc,m365-2,aafc-m365-2,Agriculture and Agri-Food Canada,M365 - Office Suite Migration,"To assess, procure and implement cloud-based office software and digital collaboration tools in alignment with the Government of Canada's digital vision and Cloud-First adoption strategy. M365 functionality will be expanded beyond core applications to respond to the highest priority items and initiatives.",1578000,2023-06-30,2023-06-30,1.2,10,8530-441-13-505,"April 25, 2022",0,0
